id,length,width,thickness,neck,provenience,type
50/4148,29.5,12.1,3,7.4,Hot Creek? (California),arrow
50/4107B,27.7,15.1,6,10,Metawhiya,arrow
50/4107E,19.8,13.3,3.8,9.4,Metawhiya,arrow
50/4109D,23.3,11.7,3.6,10.5,Yuma,arrow
50/4109E,25.6,11,3.8,8.5,Yuma,arrow
50/4109F,28.1,12.1,3.7,10.7,Yuma,arrow
50/4109B,26.2,12.9,4.2,9.7,Yuma,arrow
50/9163C,32.7,18.5,4.2,14.6,White Mt. Apache (Arizona),arrow
50/9163C,27.1,14.6,5.3,10.7,White Mt. Apache (Arizona),arrow
50/9163C,31,19.2,5.4,12.8,White Mt. Apache (Arizona),arrow
50/9163C,30,17.6,3.2,12.2,White Mt. Apache (Arizona),arrow
50/9163C,35,16.8,5.6,12,White Mt. Apache (Arizona),arrow
50/9163C,33.9,17.1,4.5,11.9,White Mt. Apache (Arizona),arrow
50/9163C,36.3,16.9,6.1,12,White Mt. Apache (Arizona),arrow
A4,40.1,21,3,14.1,Unlocalized North America,arrow
50.2/5213(H),42.4,18.9,4.3,9.5,California (?),arrow
16/1277,45.8,17.5,4.3,7,Thompson River,arrow
16/1278,39.2,17,4.6,8.2,Thompson River,arrow
50/284A,48.6,18.8,3.5,10.3,"Noko (Mooretown, California)",arrow
50.1/2625B,15.2,12,2.1,7.8,Nambe (?) New Mexico,arrow
50.1/2625C,13.4,9.4,1.7,5.1,Nambe (?) New Mexico,arrow
1/2708C,34.4,18.2,3.5,11.2,Nez Perce (Idaho),arrow
5.02/5215A,25.3,15.9,4.9,11.8,California (?),arrow
5.02/5215B,31.8,14.6,4.3,11.5,California (?),arrow
5.02/5215D,31.5,15,4.8,9.2,California (?),arrow
5.02/5215C,30.9,15.5,3.4,12.7,California (?),arrow
50.1/4875,23.2,14.2,4.1,10.5,Narez (Sonora),arrow
50/4148J,37.7,13.5,4.6,9.5,Hat Creek (?) (California?),arrow
50/4148E,29,11.2,3.5,9,Hat Creek (?) (California?),arrow
50/4148C,24.4,12.5,3.1,8.1,Hat Creek (?) (California?),arrow
50/4148H,28.2,13.7,3.7,9.1,Hat Creek (?) (California?),arrow
50/4148I,25.3,13.4,3.8,8.2,Hat Creek (?) (California?),arrow
50/4148D,44.2,13.2,6.1,9,Hat Creek (?) (California?),arrow
50/9163C,29,16.9,3.9,12.8,White Mt. Apache (Arizona),arrow
50/9163C,45,17.6,3.2,12.8,White Mt. Apache (Arizona),arrow
50/9163C,30.7,16.8,3.3,11.7,White Mt. Apache (Arizona),arrow
50/9163C,32.7,16.6,5.4,12.5,White Mt. Apache (Arizona),arrow
16/9062C,29.6,13.8,2.8,6.3,Unlocalized North America,arrow
50.1/3027,18.4,15.2,2.9,10.7,Taos (New Mexico),arrow
50.1/2857A,19.2,10.7,4.4,7.4,San Idlefonso (New Mexico),arrow
50.1/2857B,32.5,17.7,5,12.6,San Idlefonso (New Mexico),arrow
50.1/2857C,26.5,13.6,3.2,8.9,San Idlefonso (New Mexico),arrow
50.1/2857D,20.7,12.2,2.4,7.4,San Idlefonso (New Mexico),arrow
50.1/2857E,23.7,16.4,3.7,10.6,San Idlefonso (New Mexico),arrow
H-4569,22.3,10.8,2.7,6.4,Pueblo Bonito (New Mexico),arrow
H-4582,23.2,11.1,2.8,8.3,Pueblo Bonito (New Mexico),arrow
H-4575,31.3,11.8,2.7,6.8,Pueblo Bonito (New Mexico),arrow
H-4576,21.3,9.7,2.7,6.7,Pueblo Bonito (New Mexico),arrow
H-4584,21,11.3,2.3,7.3,Pueblo Bonito (New Mexico),arrow
H-4595,22.5,12.3,2.8,6.6,Pueblo Bonito (New Mexico),arrow
H-4585,24.9,10.2,2.4,6.7,Pueblo Bonito (New Mexico),arrow
H-4583,24.3,13,2.9,7.5,Pueblo Bonito (New Mexico),arrow
H-4581,27.3,12.6,2.7,8,Pueblo Bonito (New Mexico),arrow
H-4577,24.8,11.5,3.4,7.6,Pueblo Bonito (New Mexico),arrow
H-4591,25.1,10.4,2.7,7.3,Pueblo Bonito (New Mexico),arrow
H-4572,30.8,11.2,2.8,6.5,Pueblo Bonito (New Mexico),arrow
H-4586,27.7,10.8,3,6.4,Pueblo Bonito (New Mexico),arrow
H-4571,29.2,11.7,3.2,7.3,Pueblo Bonito (New Mexico),arrow
